,MLS ID,Status,Price,HOA Fee,Square Feet,Price per Square Foot,Lot Size,Bedrooms,Bathrooms,Location,Stories,Address,City,State,ZIP Code,Year Built,URL
144,2226900,Active,2399000.0,,3215.0,746.0,4600.0,5.0,4.5,Laurelhurst,2.0,5132 46th Ave NE,Seattle,WA,98105,2025.0,/WA/Seattle/5132-46th-Ave-NE-98105/home/121328
145,2223964,Active,23800000.0,,11271.0,2112.0,43068.0,6.0,8.5,,2.0,,Seattle,WA,98105,1925.0,/WA/Seattle/Undisclosed-address-98105/home/190548958
146,2222338,Active,1730000.0,,2410.0,718.0,1185.0,3.0,2.0,Seattle,1.5,5755 63rd Ave NE,Seattle,WA,98115,2016.0,/WA/Seattle/5755-63rd-Ave-NE-98105/home/112855706
147,2210844,Active,2380000.0,,6590.0,361.0,5400.0,10.0,10.0,University District,1.5,5214 NE 17th Ave,Seattle,WA,98105,1910.0,/WA/Seattle/5214-17th-Ave-NE-98105/home/308629
148,2210560,Active,10000000.0,,4760.0,2101.0,61293.0,5.0,3.0,Windermere,1.0,6505 NE Windermere Rd,Seattle,WA,98105,1965.0,/WA/Seattle/6505-NE-Windermere-Rd-98105/home/120535
149,2210051,Active,1050000.0,,2020.0,520.0,1054.0,4.0,2.5,Laurelhurst,1.5,4278 NE 50th St,Seattle,WA,98105,2019.0,/WA/Seattle/4278-NE-50th-St-98105/home/167956132
150,2201033,Active,849900.0,,1380.0,616.0,1148.0,3.0,3.5,Roosevelt,1.5,5728 Roosevelt Way NE,Seattle,WA,98105,2017.0,/WA/Seattle/5728-Roosevelt-Way-NE-98105/home/101610988
151,2246997,Active,989000.0,,3160.0,313.0,4349.0,5.0,2.5,Highland Park,2.0,7957 9th Ave SW,Seattle,WA,98106,1928.0,/WA/Seattle/7957-9th-Ave-SW-98106/home/476183
152,2247317,Active,860000.0,,2500.0,344.0,7320.0,5.0,3.0,Highland Park,2.0,7325 Dumar Way SW,Seattle,WA,98106,2001.0,/WA/Seattle/7325-Dumar-Way-SW-98106/home/161038
153,2246787,Active,1098000.0,,2420.0,454.0,5598.0,3.0,3.5,Delridge,1.5,5606 23rd Ave SW,Seattle,WA,98106,2024.0,/WA/Seattle/5606-23rd-Ave-SW-98106/home/191043526
154,2244997,Active,599950.0,,1150.0,522.0,4760.0,3.0,2.0,Highland Park,1.0,9045 9th Ave SW,Seattle,WA,98106,1919.0,/WA/Seattle/9045-9th-Ave-SW-98106/home/474130
155,2246782,Active,879950.0,25.0,1904.0,462.0,1.0,3.0,3.5,Delridge,1.5,5041 25th Ave SW,Seattle,WA,98106,2024.0,/WA/Seattle/5041-25th-Ave-SW-98106/home/159044
156,2246650,Active,599500.0,,1140.0,526.0,926.0,2.0,2.5,West Seattle,1.5,2176 SW Elmgrove St,Seattle,WA,98106,2024.0,/WA/Seattle/2176-SW-Elmgrove-St-98106/home/191033461
157,2246624,Active,669950.0,25.0,1141.0,587.0,1400.0,2.0,2.0,Delridge,1.5,5041 25th Ave SW Unit B,Seattle,WA,98106,2024.0,/WA/Seattle/5041-25th-Ave-SW-98106/unit-B/home/191016164
158,2246105,Active,1020900.0,81.0,2487.0,410.0,5450.0,5.0,3.0,White Center,2.0,517 SW 98th St #56,Seattle,WA,98106,2024.0,/WA/Seattle/517-SW-98th-St-98106/unit-56/home/191015987
159,2246100,Active,1122900.0,96.0,2701.0,416.0,4950.0,5.0,3.0,West Seattle,2.0,535 SW 98th St #54,Seattle,WA,98106,2024.0,/WA/Seattle/535-SW-98th-St-98106/unit-54/home/191015872
160,2245900,Active,669000.0,10.0,1400.0,478.0,1000.0,3.0,2.0,West Seattle,1.5,9238 20th Ave SW Unit A,Seattle,WA,98106,2024.0,/WA/Seattle/9238-20th-Ave-SW-98106/unit-A/home/191007142
161,2244697,Active,580000.0,,1440.0,403.0,1279.0,3.0,2.5,White Center,1.5,9239 17th Ave SW Unit C,Seattle,WA,98106,2007.0,/WA/Seattle/9239-17th-Ave-SW-98106/unit-C/home/191004887
162,2244806,Active,1495000.0,,2570.0,582.0,6082.0,4.0,3.0,West Seattle,2.0,4539 21st Ave SW,Seattle,WA,98106,2008.0,/WA/Seattle/4539-21st-Ave-SW-98106/home/18665257
163,2240840,Active,759888.0,,1170.0,649.0,4000.0,3.0,2.0,Highland Park,1.0,7949 15th Ave SW,Seattle,WA,98106,1943.0,/WA/Seattle/7949-15th-Ave-SW-98106/home/474079
164,2241917,Active,639999.0,269.0,1546.0,414.0,2068.0,2.0,2.5,West Seattle,1.5,2704 SW Sylvan Heights Dr,Seattle,WA,98106,2007.0,/WA/Seattle/2704-SW-Sylvan-Heights-Dr-98106/home/12090360
165,2240570,Active,665000.0,294.0,1586.0,419.0,1367.0,3.0,3.0,White Center,1.5,9721 10th Pl SW,Seattle,WA,98106,2017.0,/WA/Seattle/9721-10th-Pl-SW-98106/home/109660601
166,2241155,Active Under Contract,834000.0,81.0,2485.0,336.0,3004.0,4.0,3.5,Seattle,1.5,9911 6th Ave SW,Seattle,WA,98106,2017.0,/WA/Seattle/9911-6th-Ave-SW-98106/home/22271051
167,2229741,Active,849000.0,,1580.0,537.0,4500.0,3.0,2.0,Delridge,1.0,2307 SW Myrtle St,Seattle,WA,98106,1947.0,/WA/Seattle/2307-SW-Myrtle-St-98106/home/159499
168,2239593,Active,629000.0,10.0,1375.0,457.0,1000.0,3.0,2.0,West Seattle,1.5,9240 20th Ave SW Unit A,Seattle,WA,98106,2024.0,/WA/Seattle/9240-20th-Ave-SW-98106/unit-A/home/190849033
169,2237472,Active,945000.0,,2420.0,390.0,3319.0,4.0,3.5,West Seattle,2.0,8158 16th Ave SW,Seattle,WA,98106,2023.0,/WA/Seattle/8158-16th-Ave-SW-98106/home/171909103
170,2237460,Active,1045000.0,,2960.0,353.0,4001.0,4.0,3.5,West Seattle,2.0,8152 16th Ave SW,Seattle,WA,98106,2022.0,/WA/Seattle/8152-16th-Ave-SW-98106/home/475849
171,2230006,Active,799999.0,,1560.0,513.0,3550.0,3.0,2.5,West Seattle,1.5,4142 Delridge Way SW,Seattle,WA,98106,2017.0,/WA/Seattle/4142-Delridge-Way-SW-98106/home/22556763
172,2238237,Active,1028900.0,94.0,2487.0,414.0,4040.0,5.0,3.0,White Center,2.0,9824 6th Ave SW #51,Seattle,WA,98106,2024.0,/WA/Seattle/9824-6th-Ave-SW-98106/unit-51/home/190802484
173,2238035,Active,649950.0,,1540.0,422.0,4800.0,4.0,2.0,Delridge,1.0,5605 25th Ave SW,Seattle,WA,98106,1928.0,/WA/Seattle/5605-25th-Ave-SW-98106/home/159299
174,2225886,Active,575000.0,,1420.0,405.0,5938.0,3.0,1.5,Delridge,1.0,6935 24th Ave SW,Seattle,WA,98106,1983.0,/WA/Seattle/6935-24th-Ave-SW-98106/home/158875
175,AD4EA700ED20,Active,1103900.0,110.0,2701.0,409.0,,5.0,3.0,Seattle,2.0,A1 Plan,Seattle,WA,98106,,/WA/Seattle/Seattle/A1/home/190758916
176,16FC83EF8D38,Active,1000000.0,110.0,2487.0,402.0,,5.0,3.0,Seattle,2.0,Plan G Plan,Seattle,WA,98106,,/WA/Seattle/Seattle/Plan-G/home/190758915
177,2236281,Active,625000.0,5.0,801.0,780.0,4760.0,2.0,2.0,West Seattle,2.0,7514 12th Ave SW Unit B,Seattle,WA,98106,2022.0,/WA/Seattle/7514-12th-Ave-SW-98106/unit-B/home/181298830
178,B6EE7762E437,Active,1009900.0,110.0,2487.0,406.0,,5.0,3.0,Seattle,2.0,Plan B1 Plan,Seattle,WA,98106,,/WA/Seattle/Seattle/Plan-B1/home/190739303
179,2228136,Active,819000.0,,2060.0,398.0,6986.0,6.0,3.5,Puget Ridge,2.0,5625 16th Ave SW,Seattle,WA,98106,1983.0,/WA/Seattle/5625-16th-Ave-SW-98106/home/161106
180,2234990,Active,669950.0,,1360.0,493.0,2326.0,3.0,2.0,West Seattle,1.0,4733 Delridge Way SW,Seattle,WA,98106,1926.0,/WA/Seattle/4733-Delridge-Way-SW-98106/home/159355
181,2232915,Active,486800.0,,1020.0,477.0,606.0,3.0,2.5,Delridge,1.5,8418 Delridge Way SW Unit B,Seattle,WA,98106,2007.0,/WA/Seattle/8418-Delridge-Way-SW-98106/unit-B/home/12318426
182,2234054,Active,550000.0,,980.0,561.0,5978.0,3.0,1.0,Highland Park,1.0,1207 SW Cambridge St,Seattle,WA,98106,1922.0,/WA/Seattle/1207-SW-Cambridge-St-98106/home/476008
